name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
switzerland,2023-05-04,20.5,4,12.7,20.5,4,12.7,7.2,72.1,0,0,0,,0,0,46.8,14,248.6,1019.2,43.6,18.9,291.8,25.4,9,10,2023-05-04T06:10:50,2023-05-04T20:44:13,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,LSZB
switzerland,2023-05-05,18.6,10.9,14.4,18.6,10.9,14.4,9.6,73.9,2.6,100,25,rain,0,0,31.3,8.3,252.3,1019,93.4,22.3,255.8,22,8,30,2023-05-05T06:09:19,2023-05-05T20:45:33,0.5,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
switzerland,2023-05-06,20.3,9.4,14.6,20.3,9.4,14.6,11.6,83.5,5.4,81,33.33,rain,0,0,51.8,10.1,220.5,1015.4,86.1,22.4,281.8,24.2,8,30,2023-05-06T06:07:50,2023-05-06T20:46:52,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
switzerland,2023-05-07,15.6,10.4,13.1,15.6,10.4,13.1,10.2,82.9,10.8,100,41.67,rain,0,0,40.3,13,246.4,1016.3,90.9,18.9,166.5,14.4,7,10,2023-05-07T06:06:22,2023-05-07T20:48:11,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
switzerland,2023-05-08,16.4,7.8,12.2,16.4,7.1,12.2,9.3,83.2,1.5,66.7,20.83,rain,0,0,42.5,16.9,238.5,1019.1,87.8,19.5,248.2,21.4,8,10,2023-05-08T06:04:56,2023-05-08T20:49:30,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
switzerland,2023-05-09,17.2,9.2,12.1,17.2,9.2,12.1,10.1,88.6,9,95.2,33.33,rain,0,0,39.6,14,259.2,1017.1,99.6,19.9,192.6,16.8,7,10,2023-05-09T06:03:31,2023-05-09T20:50:48,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
switzerland,2023-05-10,14.9,7.1,10.5,14.9,7.1,10.5,7.4,83.2,6.7,90.5,33.33,rain,0,0,12.6,8.6,265.3,1016.5,66.7,19.4,218.6,19,6,10,2023-05-10T06:02:08,2023-05-10T20:52:06,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
switzerland,2023-05-11,15.5,5.5,9.8,15.5,5,9.7,5.6,78.3,1.6,85.7,20.83,rain,0,0,16.9,13.7,51.3,1019.7,44.8,23,260.3,22.5,9,10,2023-05-11T06:00:46,2023-05-11T20:53:23,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
switzerland,2023-05-12,17.9,3.3,10.4,17.9,2,9.8,4.9,72.6,0,90.5,0,rain,0,0,31.7,20.2,57.5,1024.1,4.4,24.1,323.8,27.9,9,10,2023-05-12T05:59:26,2023-05-12T20:54:40,0.75,Rain,Clear conditions throughout the day with rain.,rain,
switzerland,2023-05-13,19.7,5.1,12.1,19.7,5.1,12.1,6.4,71.6,0,61.9,0,rain,0,0,10.8,10.4,51,1026.7,45.9,24.1,299.1,25.3,9,10,2023-05-13T05:58:08,2023-05-13T20:55:56,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
switzerland,2023-05-14,19.8,7,13.4,19.8,7,13.4,8.4,74.5,0.2,52.4,4.17,rain,0,0,8.3,8.6,246.5,1026.9,76.3,24.1,282,24.3,8,10,2023-05-14T05:56:52,2023-05-14T20:57:11,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
switzerland,2023-05-15,21.1,9,14.6,21.1,9,14.6,10.6,79,0.5,57.1,12.5,rain,0,0,12.6,9,231.4,1024.3,89.5,24.1,264.7,22.8,7,10,2023-05-15T05:55:37,2023-05-15T20:58:26,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
switzerland,2023-05-16,24.1,11.2,17.1,24.1,11.2,17.1,10.9,70.1,2.2,47.6,4.17,rain,0,0,50.4,26.3,237.8,1015.2,76.6,22.5,298.9,26.1,8,10,2023-05-16T05:54:25,2023-05-16T20:59:40,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
switzerland,2023-05-17,13.6,9,11.2,13.6,9,11.2,9.4,88.9,5.3,52.4,25,rain,0,0,38.9,14,277.6,1015.6,94.7,21.9,54.4,4.7,1,10,2023-05-17T05:53:14,2023-05-17T21:00:53,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
switzerland,2023-05-18,12.3,7.3,9.4,12.3,7.3,9.4,7.5,88.2,2.7,71.4,25,rain,0,0,10.4,5,83.9,1013.8,100,24.1,89.8,7.5,3,10,2023-05-18T05:52:05,2023-05-18T21:02:05,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
